Taxon,Longitude,Latitude
Plutarchia monantha,-75.576456,4.442319
Plutarchia guascensis,-73.126222,5.856554
Plutarchia guascensis,-73.79091,4.78002
Plutarchia rigida,-75.334569,4.60591
Plutarchia dichogama,-75.57683,4.44538
Plutarchia dasyphylla,-73.45674,6.56246
Plutarchia guascensis,-73.513821,5.235706
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.8328456,4.8423286
Plutarchia guascensis,-73.788979,4.842561
Plutarchia dasyphylla,-73.11157,7.15584
Plutarchia dasyphylla,-72.913001,7.260421
Plutarchia dasyphylla,-72.913001,7.260421
Plutarchia dolos,-73.73,4.62
Plutarchia guascensis,-73.800692,4.80545
Plutarchia coronaria,-73.07298,5.903346
Plutarchia dolos,-73.74,4.56
Plutarchia dolos,-73.75,4.52
Plutarchia dolos,-73.72,4.63
Plutarchia rigida,-75.34012,4.77626
Plutarchia miranda,-76.103958,2.197143
Plutarchia pubiflora,-75.2845001221,5.0652999878
Plutarchia guascensis,-73.8141666667,4.7966666667
Plutarchia monantha,-75.42015,4.66397
Plutarchia monantha,-75.433135,4.625421
Plutarchia monantha,-75.433135,4.625421
Plutarchia dolos,-73.73,4.62
Plutarchia guascensis,-73.602399,5.182382
Plutarchia dasyphylla,-72.602943,5.96079
Plutarchia coronaria,-72.5961111111,5.9938888889
Plutarchia coronaria,-72.716389,5.510556
Plutarchia miranda,-76.13446,2.228468
Plutarchia dichogama,-75.0547,4.71679
Plutarchia guascensis,-73.825836,4.764468
Plutarchia rigida,-76.45507,2.38089
Plutarchia rigida,-76.119444,2.929444
Plutarchia pubiflora,-75.844943,3.992181
Plutarchia coronaria,-72.665964,7.053787
Plutarchia guascensis,-73.8220672607,4.7894611359
Plutarchia minor,-75.86787,3.923084
Plutarchia miranda,-76.098225,2.309783
Plutarchia monantha,-75.568977,4.446595
Plutarchia coronaria,-72.588647,7.387979
Plutarchia coronaria,-72.743884,5.505229
Plutarchia coronaria,-72.5902777778,7.3702777778
Plutarchia rigida,-76.236908,2.497952
Plutarchia pubiflora,-75.32388,4.62596
Plutarchia dichogama,-75.95673,3.93993
Plutarchia rigida,-75.95673,3.93993
Plutarchia guascensis,-73.1019444444,5.9480555556
Plutarchia pubiflora,-75.264184,4.727816
Plutarchia rigida,-76.607113,1.889661
Plutarchia minor,-75.589083,4.369389
Plutarchia monantha,-75.576456,4.442319
Plutarchia minor,-75.802667,4.0915
Plutarchia guascensis,-73.132694,5.857611
Plutarchia guascensis,-73.440994,5.677872
Plutarchia guascensis,-73.108673,5.936108
Plutarchia miranda,-76.101588,2.236565
Plutarchia dolos,-73.75,4.53
Plutarchia dolos,-73.76,4.53
Plutarchia dolos,-73.76,4.53
Plutarchia dolos,-73.76,4.53
Plutarchia guascensis,-73.837472,4.802614
Plutarchia dolos,-73.73,4.63
Plutarchia dolos,-73.75,4.65
Plutarchia guascensis,-73.988138,4.317566
Plutarchia dasyphylla,-72.9797222222,7.1066666667
Plutarchia guascensis,-73.8675003052,4.7921328545
Plutarchia guascensis,-73.547871,5.203024
Plutarchia guascensis,-73.787273,4.814004
Plutarchia guascensis,-73.79091,4.78002
Plutarchia monantha,-76.051602,3.525284
Plutarchia monantha,-76.048687,3.529987
Plutarchia rigida,-76.218444,2.513825
Plutarchia guascensis,-73.818201,4.844543
Plutarchia guascensis,-73.79091,4.78002
Plutarchia dolos,-73.74,4.55
Plutarchia guascensis,-73.0762,5.85284
Plutarchia rigida,-76.6202777778,1.9308333333
Plutarchia rigida,-76.607283,1.924395
Plutarchia monantha,-75.27425,4.87635
Plutarchia guascensis,-73.837872,4.84508
Plutarchia dichogama,-75.56083679,4.480555534
Plutarchia monantha,-75.493464,4.813565
Plutarchia rigida,-76.400561,2.335732
Plutarchia guascensis,-74.031604,4.570787
Plutarchia coronaria,-72.763737,6.221745
Plutarchia coronaria,-72.887455,6.271964
Plutarchia monantha,-75.493464,4.813565
Plutarchia monantha,-75.493464,4.813565
Plutarchia coronaria,-72.528589,7.24369
Plutarchia coronaria,-72.6759,7.37906
Plutarchia minor,-75.7119,4.20161
Plutarchia minor,-75.583333,4.25
Plutarchia rigida,-76.174167,2.497778
Plutarchia rigida,-76.350348,2.358338
Plutarchia miranda,-76.350348,2.358338
Plutarchia rigida,-76.316667,2.583333
Plutarchia guascensis,-73.831596,4.843921
Plutarchia dasyphylla,-72.96623,7.11339
Plutarchia coronaria,-73.59075,5.403056
Plutarchia coronaria,-73.5395,5.4185
Plutarchia coronaria,-73.629389,5.352833
Plutarchia coronaria,-72.713813,7.41913
Plutarchia minor,-75.383889,5.229722
Plutarchia coronaria,-73.4521,5.70001
Plutarchia monantha,-75.415673,4.688244
Plutarchia monantha,-75.70543,4.18589
Plutarchia monantha,-75.69696,4.16547
Plutarchia rigida,-75.32911,5.30375
Plutarchia monantha,-75.71527863,4.154444218
Plutarchia dasyphylla,-72.852222,7.4475
Plutarchia dolos,-73.73,4.63
Plutarchia miranda,-76.0699722,2.1005556
Plutarchia guascensis,-73.547871,5.203024
Plutarchia guascensis,-73.5440556,5.2278889
Plutarchia miranda,-76.119641,2.216293
Plutarchia monantha,-75.576456,4.442319
Plutarchia minor,-75.484722,4.743611
Plutarchia guascensis,-73.885617,4.7319
Plutarchia dolos,-73.72,4.6
Plutarchia pubiflora,-75.53199,4.61092
Plutarchia guascensis,-73.8502777778,4.7855555556
Plutarchia guascensis,-73.84643,4.80128
Plutarchia guascensis,-73.782617,4.79704
Plutarchia monantha,-75.38308218,4.972344976
Plutarchia guascensis,-73.127868,5.861919
Plutarchia guascensis,-73.127868,5.861919
Plutarchia guascensis,-73.127868,5.861919
Plutarchia guascensis,-73.127868,5.861919
Plutarchia dolos,-73.75,4.53
Plutarchia rigida,-76.2386111,2.4905556
Plutarchia rigida,-76.2491667,2.5069444
Plutarchia rigida,-76.142175,2.986536
Plutarchia coronaria,-73.1019444444,5.9480555556
Plutarchia rigida,-76.288703,2.680817
Plutarchia rigida,-76.288703,2.680817
Plutarchia monantha,-75.45,4.616667
Plutarchia coronaria,-73.11171,6.12845
Plutarchia coronaria,-73.467499,5.701944
Plutarchia coronaria,-72.534532,6.571709
Plutarchia coronaria,-72.634163,6.775931
Plutarchia guascensis,-73.371096,5.677832
Plutarchia dolos,-73.73,4.62
Plutarchia rigida,-75.557852,4.48719
Plutarchia dolos,-73.72,4.59
Plutarchia rigida,-76.43052,2.13148
Plutarchia minor,-75.246825,4.646415
Plutarchia dichogama,-75.266602,4.631993
Plutarchia minor,-75.08851305,4.94032262
Plutarchia coronaria,-72.648637,7.402266
Plutarchia pubiflora,-75.256014,4.8823
Plutarchia monantha,-75.50726,5.08343
Plutarchia monantha,-75.331768,5.005012
Plutarchia minor,-75.269253,4.62925
Plutarchia monantha,-76.067236,3.430447
Plutarchia monantha,-76.08081,3.331707
Plutarchia monantha,-76.07262,3.334948
Plutarchia monantha,-76.050108,3.445422
Plutarchia guascensis,-73.88967,4.71768
Plutarchia guascensis,-73.8505555556,4.8191666667
Plutarchia guascensis,-73.8491666667,4.8111111111
Plutarchia guascensis,-73.82248,4.71611
Plutarchia guascensis,-73.79091,4.78002
Plutarchia monantha,-75.582006,4.452036
Plutarchia monantha,-75.582006,4.452036
Plutarchia monantha,-75.582006,4.452036
Plutarchia guascensis,-73.0859,5.980258
Plutarchia guascensis,-73.666667,4.833333
Plutarchia guascensis,-73.852622,4.758204
Plutarchia guascensis,-72.778621,6.216835
Plutarchia dolos,-73.75,4.53
Plutarchia monantha,-75.456039,4.616871
Plutarchia monantha,-75.53199,4.61092
Plutarchia rigida,-75.557852,4.48719
Plutarchia monantha,-76.08365,3.756951
Plutarchia monantha,-75.430285,4.622914
Plutarchia rigida,-75.545492,4.291601
Plutarchia rigida,-75.557852,4.48719
Plutarchia monantha,-75.355241,4.95147
Plutarchia guascensis,-73.433656,5.709055
Plutarchia rigida,-75.844943,3.992181
Plutarchia minor,-75.89146,4.01117
Plutarchia dichogama,-75.6061019897,4.3024997711
Plutarchia minor,-75.537686,4.253011
Plutarchia minor,-75.537686,4.253011
Plutarchia monantha,-75.42015,4.66397
Plutarchia monantha,-75.67945,4.20038
Plutarchia monantha,-75.80175,4.10091
Plutarchia monantha,-75.4916667,4.8166667
Plutarchia guascensis,-73.81248,4.659308
Plutarchia monantha,-75.3956897,4.975177592
Plutarchia dichogama,-75.5737,4.51572
Plutarchia guascensis,-73.433656,5.709055
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.838548,4.731448
Plutarchia guascensis,-73.831596,4.843921
Plutarchia guascensis,-74.031604,4.570787
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.863042,4.763588
Plutarchia guascensis,-73.828142,4.826197
Plutarchia guascensis,-73.853144,4.69603
Plutarchia guascensis,-72.790344,6.226913
Plutarchia guascensis,-73.079916,5.911427
Plutarchia guascensis,-73.079916,5.911427
Plutarchia guascensis,-73.853455,4.804783
Plutarchia guascensis,-73.863042,4.763588
Plutarchia guascensis,-73.806909,4.832489
Plutarchia guascensis,-73.837872,4.84508
Plutarchia guascensis,-73.126222,5.856554
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.837472,4.802614
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.547871,5.203024
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.602399,5.182382
Plutarchia guascensis,-73.547871,5.203024
Plutarchia guascensis,-73.112086,5.939149
Plutarchia guascensis,-73.85551,4.696732
Plutarchia guascensis,-73.126222,5.856554
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.837472,4.802614
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.853455,4.804783
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.126222,5.856554
Plutarchia guascensis,-73.126222,5.856554
Plutarchia guascensis,-73.126222,5.856554
Plutarchia guascensis,-73.084717,5.977988
Plutarchia guascensis,-73.126222,5.856554
Plutarchia guascensis,-73.371096,5.677832
Plutarchia guascensis,-73.825836,4.764468
Plutarchia guascensis,-73.852622,4.758204
Plutarchia guascensis,-73.547871,5.203024
Plutarchia guascensis,-73.782617,4.79704
Plutarchia falsa,-73.73,4.62
